q_id,Gender,Name,NumSeasons,AvgPER,CareerPoints
1,male,Rodney Stuckey,10,14.47,8185
1,male,Chucky Atkins,17,11.35,8177
1,male,Tyrone Hill,18,12.72,8169
1,male,Terry Teagle,13,11.36,8157
1,male,Larry Drew,11,12.49,8156
1,male,Elmore Smith,10,15.91,8140
1,male,Len Chappell,17,13.9,8139
1,male,Kemba Walker,6,18.37,8137
1,male,Courtney Lee,13,12.33,8131
1,male,Joe Caldwell,8,14.64,8128
1,male,Rafer Alston,15,12.03,8126
1,male,Carl Braun,10,15.21,8113
1,male,Paul George,7,17.21,8090
1,male,Gordon Hayward,7,17.13,8077
1,male,Lonnie Shelton,10,13.37,8049
1,male,Luke Ridnour,14,12.69,8046
1,male,Blue Edwards,12,12.3,8044
1,male,Quentin Richardson,13,11.5,8032
1,male,Brad Davis,19,12.95,8027
1,male,Danilo Gallinari,10,16.18,8023
1,male,Nate Robinson,17,12.85,8013
1,male,Darrell Armstrong,16,17.14,7976
1,male,Lindsey Hunter,17,10.45,7956
1,male,Connie Dierking,14,11.59,7941
1,male,Brian Grant,12,14.08,7933
1,male,Reggie Lewis,6,16.7,7902
1,male,Bobby Jackson,14,15.12,7897
1,male,Beno Udrih,19,13.49,7895
1,male,Andrea Bargnani,10,14.19,7873
1,male,Raja Bell,16,10.67,7868
1,male,Ron Anderson,14,13.0,7859
1,male,Marcin Gortat,12,17.32,7845
1,male,Calbert Cheaney,13,9.85,7826
1,male,Channing Frye,13,13.38,7818
1,male,Ruben Patterson,12,16.19,7811
1,male,Kenny Sears,10,16.67,7808
1,male,Ralph Sampson*,11,12.7,7788
1,male,Harvey Grant,11,11.75,7781
1,male,Wayne Cooper,14,12.76,7777
1,male,Ron Mercer,12,11.27,7775
1,male,Rick Mahorn,18,10.42,7763
1,male,Michael Cooper,12,13.03,7729
1,male,Josh Howard,12,14.93,7716
1,male,Derek Anderson,13,13.9,7706
1,male,B.J. Armstrong,15,13.38,7686
1,male,Paul Pressey,11,14.17,7664
1,male,Jim Chones,8,13.34,7664
1,male,Neal Walk,10,15.59,7639
1,male,Morris Peterson,11,11.81,7628
1,male,Dee Brown,18,10.78,7602
1,male,Nicolas Batum,9,15.37,7600
1,male,Theo Ratliff,24,12.7,7579
1,male,O.J. Mayo,8,12.8,7574
1,male,Greg Monroe,7,20.24,7572
1,male,Jeff Teague,8,16.62,7545
1,male,Willie Anderson,11,12.44,7513
1,male,Anthony Davis,5,26.3,7497
1,male,Craig Ehlo,14,12.92,7492
1,male,Terry Mills,13,12.45,7490
1,female,Tina Thompson,17,18.47,7488
1,male,Andrew Toney,8,13.86,7458
1,male,Kenny Thomas,15,12.77,7451
1,male,Vladimir Radmanovic,18,11.46,7430
1,male,Stu Lantz,10,12.41,7430
1,male,Brian Shaw,18,10.1,7414
1,male,LaPhonso Ellis,11,13.83,7410
1,female,Tamika Catchings,15,25.92,7380
1,male,Kevin Grevey,10,12.26,7364
1,male,Ty Lawson,10,15.68,7350
1,male,Spencer Hawes,14,14.58,7322
1,male,Ryan Anderson,9,17.23,7316
1,male,Mark West,21,9.43,7316
1,male,Erick Dampier,16,13.04,7309
1,male,Rich Kelley,15,14.11,7303
1,male,Vinny Del,14,12.39,7292
1,male,Dwight Jones,14,12.46,7265
1,male,J.R. Reid,17,12.24,7256
1,male,Emeka Okafor,9,16.68,7256
1,male,Keith Erickson,12,11.85,7251
1,male,Johnny Egan,17,11.27,7249
1,male,Mel Counts,16,14.24,7242
1,male,Slater Martin*,11,11.19,7209
1,male,Jim Price,14,13.72,7203
1,male,Jrue Holiday,8,16.48,7191
1,male,Steve Blake,19,10.66,7154
1,male,Loy Vaught,13,13.59,7152
1,male,Darren Collison,8,15.86,7149
1,female,Tina Charles,12,21.02,7115
1,male,Rod Higgins,17,10.92,7109
1,male,Craig Hodges,14,12.04,7098
1,male,Tom Henderson,11,12.86,7063
1,male,George Hill,9,15.62,7039
1,male,John Mengelt,12,12.4,6985
1,male,Earl Boykins,19,15.98,6955
1,male,Antonio Daniels,15,13.71,6923
1,male,Eric Money,10,12.79,6898
1,female,Candice Dupree,16,18.04,6895
1,male,Brandon Knight,8,14.16,6890
1,male,Mike Riordan,11,10.1,6884
1,male,Curtis Rowe,8,12.22,6873
1,male,Kent Benson,13,13.53,6866
1,male,Todd Day,10,13.16,6839
1,male,Ronald Murray,16,10.97,6837
1,male,Eric Williams,18,11.36,6832
1,male,Roy Hibbert,11,15.3,6832
1,male,Eddy Curry,11,10.57,6820
1,male,Andrew Bogut,14,11.61,6812
1,female,Cappie Pondexter,13,17.88,6811
1,female,Sue Bird,19,17.25,6803
1,male,Zaza Pachulia,14,14.04,6774
1,male,Harry Gallatin*,7,21.44,6761
1,male,Evan Turner,9,12.07,6750
1,male,McCoy McLemore,14,11.97,6749
1,male,Kevin Edwards,13,11.76,6746
1,male,Raef LaFrentz,12,15.59,6741
1,male,John Shumate,14,13.07,6724
1,male,Allen Leavell,10,13.81,6684
1,male,Dennis Rodman*,14,13.96,6683
1,male,Tom Hawkins,10,10.76,6672
1,male,Bryon Russell,13,12.36,6663
1,male,Steve Hawes,14,13.21,6653
1,male,Scott Skiles,10,12.66,6652
1,male,Caldwell Jones,14,9.9,6589
1,male,Brandon Bass,12,14.65,6575
1,male,Tom McMillen,13,12.28,6558
1,male,Tony Allen,13,14.31,6551
1,male,Bill Robinzine,9,13.64,6544
1,male,Pat Cummings,12,12.92,6529
1,male,Tony Delk,16,13.28,6517
1,male,Kawhi Leonard,6,21.32,6508
1,male,Bob Weiss,14,11.48,6495
1,male,Albert King,9,13.0,6470
1,male,Darrell Walker,12,11.56,6469
1,male,Don Chaney,13,10.1,6462
1,female,Katie Smith,15,15.47,6452
1,male,Henry Bibby,11,13.1,6452
1,male,Alton Lister,18,10.74,6441
1,male,Danny Ferry,13,11.28,6439
1,female,Sylvia Fowles,15,25.07,6415
